path,label,is_train,person
./datasets/MEAD/W040_front/angry/level_1/001,0,1,29
./datasets/MEAD/W040_front/angry/level_1/002,0,1,29
./datasets/MEAD/W040_front/angry/level_1/003,0,1,29
./datasets/MEAD/W040_front/angry/level_1/015,0,1,29
./datasets/MEAD/W040_front/angry/level_1/016,0,1,29
./datasets/MEAD/W040_front/angry/level_1/017,0,1,29
./datasets/MEAD/W040_front/angry/level_1/018,0,1,29
./datasets/MEAD/W040_front/angry/level_1/023,0,1,29
./datasets/MEAD/W040_front/angry/level_1/024,0,1,29
./datasets/MEAD/W040_front/angry/level_1/025,0,1,29
./datasets/MEAD/W040_front/angry/level_1/026,0,1,29
./datasets/MEAD/W040_front/angry/level_1/031,0,1,29
./datasets/MEAD/W040_front/angry/level_1/032,0,1,29
./datasets/MEAD/W040_front/angry/level_1/033,0,1,29
./datasets/MEAD/W040_front/angry/level_1/034,0,1,29
./datasets/MEAD/W040_front/angry/level_1/039,0,1,29
./datasets/MEAD/W040_front/angry/level_1/040,0,1,29
./datasets/MEAD/W040_front/angry/level_1/041,0,1,29
./datasets/MEAD/W040_front/angry/level_1/042,0,1,29
./datasets/MEAD/W040_front/angry/level_1/047,0,1,29
./datasets/MEAD/W040_front/angry/level_1/048,0,1,29
./datasets/MEAD/W040_front/angry/level_1/049,0,1,29
./datasets/MEAD/W040_front/angry/level_1/050,0,1,29
./datasets/MEAD/W040_front/angry/level_1/055,0,1,29
./datasets/MEAD/W040_front/angry/level_1/056,0,1,29
./datasets/MEAD/W040_front/angry/level_1/057,0,1,29
./datasets/MEAD/W040_front/angry/level_2/001,0,1,29
./datasets/MEAD/W040_front/angry/level_2/002,0,1,29
./datasets/MEAD/W040_front/angry/level_2/003,0,1,29
./datasets/MEAD/W040_front/angry/level_2/015,0,1,29
./datasets/MEAD/W040_front/angry/level_2/016,0,1,29
./datasets/MEAD/W040_front/angry/level_2/017,0,1,29
./datasets/MEAD/W040_front/angry/level_2/018,0,1,29
./datasets/MEAD/W040_front/angry/level_2/023,0,1,29
./datasets/MEAD/W040_front/angry/level_2/024,0,1,29
./datasets/MEAD/W040_front/angry/level_2/025,0,1,29
./datasets/MEAD/W040_front/angry/level_2/026,0,1,29
./datasets/MEAD/W040_front/angry/level_2/031,0,1,29
./datasets/MEAD/W040_front/angry/level_2/032,0,1,29
./datasets/MEAD/W040_front/angry/level_2/033,0,1,29
./datasets/MEAD/W040_front/angry/level_2/034,0,1,29
./datasets/MEAD/W040_front/angry/level_2/039,0,1,29
./datasets/MEAD/W040_front/angry/level_2/040,0,1,29
./datasets/MEAD/W040_front/angry/level_2/041,0,1,29
./datasets/MEAD/W040_front/angry/level_2/042,0,1,29
./datasets/MEAD/W040_front/angry/level_2/047,0,1,29
./datasets/MEAD/W040_front/angry/level_2/048,0,1,29
./datasets/MEAD/W040_front/angry/level_2/049,0,1,29
./datasets/MEAD/W040_front/angry/level_2/050,0,1,29
./datasets/MEAD/W040_front/angry/level_2/055,0,1,29
./datasets/MEAD/W040_front/angry/level_2/056,0,1,29
./datasets/MEAD/W040_front/angry/level_2/057,0,1,29
./datasets/MEAD/W040_front/angry/level_3/001,0,1,29
./datasets/MEAD/W040_front/angry/level_3/002,0,1,29
./datasets/MEAD/W040_front/angry/level_3/003,0,1,29
./datasets/MEAD/W040_front/angry/level_3/015,0,1,29
./datasets/MEAD/W040_front/angry/level_3/016,0,1,29
./datasets/MEAD/W040_front/angry/level_1/001,0,1,29
./datasets/MEAD/W040_front/angry/level_1/002,0,1,29
./datasets/MEAD/W040_front/angry/level_1/003,0,1,29
./datasets/MEAD/W040_front/angry/level_1/015,0,1,29
./datasets/MEAD/W040_front/angry/level_1/016,0,1,29
./datasets/MEAD/W040_front/angry/level_1/017,0,1,29
./datasets/MEAD/W040_front/angry/level_1/018,0,1,29
./datasets/MEAD/W040_front/angry/level_1/023,0,1,29
./datasets/MEAD/W040_front/angry/level_1/024,0,1,29
./datasets/MEAD/W040_front/angry/level_1/025,0,1,29
./datasets/MEAD/W040_front/angry/level_1/026,0,1,29
./datasets/MEAD/W040_front/angry/level_1/031,0,1,29
./datasets/MEAD/W040_front/angry/level_1/032,0,1,29
./datasets/MEAD/W040_front/angry/level_1/033,0,1,29
./datasets/MEAD/W040_front/angry/level_1/034,0,1,29
./datasets/MEAD/W040_front/angry/level_1/039,0,1,29
./datasets/MEAD/W040_front/angry/level_1/040,0,1,29
./datasets/MEAD/W040_front/angry/level_1/041,0,1,29
./datasets/MEAD/W040_front/angry/level_1/042,0,1,29
./datasets/MEAD/W040_front/angry/level_1/047,0,1,29
./datasets/MEAD/W040_front/angry/level_1/048,0,1,29
./datasets/MEAD/W040_front/angry/level_1/049,0,1,29
./datasets/MEAD/W040_front/angry/level_1/050,0,1,29
./datasets/MEAD/W040_front/angry/level_1/055,0,1,29
./datasets/MEAD/W040_front/angry/level_1/056,0,1,29
./datasets/MEAD/W040_front/angry/level_1/057,0,1,29
./datasets/MEAD/W040_front/angry/level_2/001,0,1,29
./datasets/MEAD/W040_front/angry/level_2/002,0,1,29
./datasets/MEAD/W040_front/angry/level_2/003,0,1,29
./datasets/MEAD/W040_front/angry/level_2/015,0,1,29
./datasets/MEAD/W040_front/angry/level_2/016,0,1,29
./datasets/MEAD/W040_front/angry/level_2/017,0,1,29
./datasets/MEAD/W040_front/angry/level_2/018,0,1,29
./datasets/MEAD/W040_front/angry/level_2/023,0,1,29
./datasets/MEAD/W040_front/angry/level_2/024,0,1,29
./datasets/MEAD/W040_front/angry/level_2/025,0,1,29
./datasets/MEAD/W040_front/angry/level_2/026,0,1,29
./datasets/MEAD/W040_front/angry/level_2/031,0,1,29
./datasets/MEAD/W040_front/angry/level_2/032,0,1,29
./datasets/MEAD/W040_front/angry/level_2/033,0,1,29
./datasets/MEAD/W040_front/angry/level_2/034,0,1,29
./datasets/MEAD/W040_front/angry/level_2/039,0,1,29
./datasets/MEAD/W040_front/angry/level_2/040,0,1,29
./datasets/MEAD/W040_front/angry/level_2/041,0,1,29
./datasets/MEAD/W040_front/angry/level_2/042,0,1,29
./datasets/MEAD/W040_front/angry/level_2/047,0,1,29
./datasets/MEAD/W040_front/angry/level_2/048,0,1,29
./datasets/MEAD/W040_front/angry/level_2/049,0,1,29
./datasets/MEAD/W040_front/angry/level_2/050,0,1,29
./datasets/MEAD/W040_front/angry/level_2/055,0,1,29
./datasets/MEAD/W040_front/angry/level_2/056,0,1,29
./datasets/MEAD/W040_front/angry/level_2/057,0,1,29
./datasets/MEAD/W040_front/angry/level_3/001,0,1,29
./datasets/MEAD/W040_front/angry/level_3/002,0,1,29
